"date"	"level"
2016-12-20	69
2016-12-21	68
2016-12-22	72
2016-12-23	72
2016-12-24	70
2016-12-25	67
2016-12-26	67
2016-12-27	66
2016-12-28	63
2016-12-29	65
2016-12-30	63
2016-12-31	59
2017-01-01	57
2017-01-02	55
2017-01-03	56
2017-01-04	56
2017-01-05	59
2017-01-06	61
2017-01-07	54
2017-01-08	51
2017-01-09	46
2017-01-10	51
2017-01-11	53
2017-01-12	57
2017-01-13	66
2017-01-14	84
2017-01-15	92
2017-01-16	91
2017-01-17	85
2017-01-18	71
2017-01-19	65
2017-01-20	61
2017-01-21	61
2017-01-22	56
2017-01-23	54
2017-01-24	53
2017-01-25	49
2017-01-26	53
2017-01-27	55
2017-01-28	59
2017-01-29	54
2017-01-30	52
2017-01-31	53
2017-02-01	61
2017-02-02	96
2017-02-03	205
2017-02-04	214
2017-02-05	190
2017-02-06	186
2017-02-07	182
2017-02-08	182
2017-02-09	178
2017-02-10	164
2017-02-11	151
2017-02-12	141
2017-02-13	132
2017-02-14	120
2017-02-15	114
2017-02-16	112
2017-02-17	109
2017-02-18	108
2017-02-19	111
2017-02-20	121
2017-02-21	123
2017-02-22	123
2017-02-23	146
2017-02-24	174
2017-02-25	182
2017-02-26	173
2017-02-27	169
2017-02-28	154
2017-03-01	158
2017-03-02	178
2017-03-03	216
2017-03-04	253
2017-03-05	253
2017-03-06	238
2017-03-07	228
2017-03-08	231
2017-03-09	262
2017-03-10	292
2017-03-11	355
2017-03-12	383
2017-03-13	360
2017-03-14	314
2017-03-15	282
2017-03-16	260
2017-03-17	238
2017-03-18	223
2017-03-19	228
2017-03-20	235
2017-03-21	253
2017-03-22	257
2017-03-23	247
2017-03-24	238
2017-03-25	228
2017-03-26	217
2017-03-27	208
2017-03-28	197
2017-03-29	192
2017-03-30	184
2017-03-31	176
2017-04-01	169
2017-04-02	166
2017-04-03	159
2017-04-04	151
2017-04-05	148
2017-04-06	146
2017-04-07	139
2017-04-08	134
2017-04-09	130
2017-04-10	125
2017-04-11	120
2017-04-12	113
2017-04-13	108
2017-04-14	105
2017-04-15	104
2017-04-16	100
2017-04-17	104
2017-04-18	114
2017-04-19	128
2017-04-20	130
2017-04-21	128
2017-04-22	120
2017-04-23	116
2017-04-24	114
2017-04-25	113
2017-04-26	110
2017-04-27	121
2017-04-28	158
2017-04-29	189
2017-04-30	198
2017-05-01	198
2017-05-02	200
2017-05-03	228
2017-05-04	253
2017-05-05	247
2017-05-06	231
2017-05-07	216
2017-05-08	209
2017-05-09	249
2017-05-10	283
2017-05-11	276
2017-05-12	257
2017-05-13	241
2017-05-14	231
2017-05-15	226
2017-05-16	223
2017-05-17	219
2017-05-18	206
2017-05-19	198
2017-05-20	219
2017-05-21	220
2017-05-22	220
2017-05-23	206
2017-05-24	198
2017-05-25	189
2017-05-26	178
2017-05-27	168
2017-05-28	164
2017-05-29	159
2017-05-30	159
2017-05-31	168
2017-06-01	171
2017-06-02	171
2017-06-03	186
2017-06-04	206
2017-06-05	238
2017-06-06	252
2017-06-07	244
2017-06-08	229
2017-06-09	222
2017-06-10	214
2017-06-11	203
2017-06-12	189
2017-06-13	176
2017-06-14	163
2017-06-15	156
2017-06-16	151
2017-06-17	151
2017-06-18	158
2017-06-19	158
2017-06-20	154
2017-06-21	151
2017-06-22	149
2017-06-23	148
2017-06-24	144
2017-06-25	142
2017-06-26	134
2017-06-27	130
2017-06-28	134
2017-06-29	146
2017-06-30	184
2017-07-01	194
2017-07-02	186
2017-07-03	168
2017-07-04	163
2017-07-05	158
2017-07-06	151
2017-07-07	149
2017-07-08	148
2017-07-09	137
2017-07-10	130
2017-07-11	141
2017-07-12	156
2017-07-13	169
2017-07-14	164
2017-07-15	151
2017-07-16	137
2017-07-17	130
2017-07-18	127
2017-07-19	120
2017-07-20	116
2017-07-21	123
2017-07-22	128
2017-07-23	137
2017-07-24	141
2017-07-25	141
2017-07-26	153
2017-07-27	208
2017-07-28	259
2017-07-29	256
2017-07-30	232
2017-07-31	214
2017-08-01	203
2017-08-02	198
2017-08-03	190
2017-08-04	190
2017-08-05	179
2017-08-06	169
2017-08-07	161
2017-08-08	148
2017-08-09	142
2017-08-10	142
2017-08-11	166
2017-08-12	197
2017-08-13	226
2017-08-14	231
2017-08-15	214
2017-08-16	205
2017-08-17	197
2017-08-18	189
2017-08-19	181
2017-08-20	179
2017-08-21	181
2017-08-22	166
2017-08-23	156
2017-08-24	148
2017-08-25	144
2017-08-26	142
2017-08-27	146
2017-08-28	141
2017-08-29	130
2017-08-30	123
2017-08-31	121
2017-09-01	128
2017-09-02	141
2017-09-03	168
2017-09-04	214
2017-09-05	241
2017-09-06	226
2017-09-07	206
2017-09-08	192
2017-09-09	181
2017-09-10	173
2017-09-11	168
2017-09-12	163
2017-09-13	164
2017-09-14	182
2017-09-15	220
2017-09-16	216
2017-09-17	214
2017-09-18	198
2017-09-19	189
2017-09-20	182
2017-09-21	178
2017-09-22	169
2017-09-23	168
2017-09-24	159
2017-09-25	154
2017-09-26	149
2017-09-27	144
2017-09-28	144
2017-09-29	139
2017-09-30	137
2017-10-01	135
2017-10-02	141
2017-10-03	148
2017-10-04	168
2017-10-05	184
2017-10-06	184
2017-10-07	171
2017-10-08	173
2017-10-09	182
2017-10-10	187
2017-10-11	190
2017-10-12	186
2017-10-13	174
2017-10-14	164
2017-10-15	156
2017-10-16	148
2017-10-17	139
2017-10-18	132
2017-10-19	125
2017-10-20	121
2017-10-21	118
2017-10-22	116
2017-10-23	114
2017-10-24	116
2017-10-25	112
2017-10-26	116
2017-10-27	113
2017-10-28	113
2017-10-29	114
2017-10-30	116
2017-10-31	123
2017-11-01	130
2017-11-02	132
2017-11-03	125
2017-11-04	120
2017-11-05	120
2017-11-06	123
2017-11-07	134
2017-11-08	146
2017-11-09	153
2017-11-10	151
2017-11-11	151
2017-11-12	156
2017-11-13	214
2017-11-14	339
2017-11-15	380
2017-11-16	339
2017-11-17	280
2017-11-18	249
2017-11-19	225
2017-11-20	211
2017-11-21	203
2017-11-22	205
2017-11-23	209
2017-11-24	211
2017-11-25	206
2017-11-26	231
2017-11-27	286
2017-11-28	303
2017-11-29	309
2017-11-30	304
2017-12-01	300
2017-12-02	285
2017-12-03	260
2017-12-04	232
2017-12-05	214
2017-12-06	205
2017-12-07	202
2017-12-08	202
2017-12-09	203
2017-12-10	209
2017-12-11	225
2017-12-12	301
2017-12-13	369
2017-12-14	398
2017-12-15	414
2017-12-16	423
2017-12-17	439
2017-12-18	438
2017-12-19	399
2017-12-20	356
2017-12-21	328
2017-12-22	309
2017-12-23	304
2017-12-24	308
2017-12-25	308
2017-12-26	294
2017-12-27	279
2017-12-28	275
2017-12-29	269
2017-12-30	262
2017-12-31	282
2018-01-01	346
2018-01-02	391
2018-01-03	406
2018-01-04	452
2018-01-05	501
2018-01-06	585
2018-01-07	657
2018-01-08	669
2018-01-09	637
2018-01-10	577
2018-01-11	508
2018-01-12	452
2018-01-13	410
2018-01-14	377
2018-01-15	347
2018-01-16	327
2018-01-17	332
2018-01-18	364
2018-01-19	408
2018-01-20	452
2018-01-21	493
2018-01-22	519
2018-01-23	528
2018-01-24	569
2018-01-25	611
2018-01-26	630
2018-01-27	610
2018-01-28	562
2018-01-29	516
2018-01-30	472
2018-01-31	437
2018-02-01	423
2018-02-02	432
2018-02-03	435
2018-02-04	428
2018-02-05	406
2018-02-06	377
2018-02-07	352
2018-02-08	326
2018-02-09	304
2018-02-10	290
2018-02-11	282
2018-02-12	272
2018-02-13	257
2018-02-14	247
2018-02-15	235
2018-02-16	231
2018-02-17	237
2018-02-18	276
2018-02-19	315
2018-02-20	332
2018-02-21	330
2018-02-22	311
2018-02-23	293
2018-02-24	270
2018-02-25	249
2018-02-26	226
2018-02-27	209
2018-02-28	202
2018-03-01	195
2018-03-02	187
2018-03-03	182
2018-03-04	184
2018-03-05	190
2018-03-06	186
2018-03-07	184
2018-03-08	189
2018-03-09	192
2018-03-10	200
2018-03-11	202
2018-03-12	202
2018-03-13	206
2018-03-14	225
2018-03-15	247
2018-03-16	256
2018-03-17	256
2018-03-18	247
2018-03-19	235
2018-03-20	225
2018-03-21	216
2018-03-22	208
2018-03-23	203
2018-03-24	198
2018-03-25	194
2018-03-26	187
2018-03-27	178
2018-03-28	171
2018-03-29	173
2018-03-30	189
2018-03-31	226
2018-04-01	243
2018-04-02	250
2018-04-03	255
2018-04-04	241
2018-04-05	234
2018-04-06	226
2018-04-07	225
2018-04-08	220
2018-04-09	214
2018-04-10	208
2018-04-11	214
2018-04-12	219
2018-04-13	220
2018-04-14	249
2018-04-15	244
2018-04-16	225
