"date"	"level"
2020-03-31	182
2020-04-01	176
2020-04-02	174
2020-04-03	167
2020-04-04	162
2020-04-05	157
2020-04-06	151
2020-04-07	148
2020-04-08	143
2020-04-09	136
2020-04-10	132
2020-04-11	130
2020-04-12	127
2020-04-13	125
2020-04-14	125
2020-04-15	123
2020-04-16	119
2020-04-17	119
2020-04-18	118
2020-04-19	118
2020-04-20	119
2020-04-21	114
2020-04-22	116
2020-04-23	117
2020-04-24	115
2020-04-25	117
2020-04-26	114
2020-04-27	114
2020-04-28	116
2020-04-29	120
2020-04-30	123
2020-05-01	139
2020-05-02	154
2020-05-03	155
2020-05-04	161
2020-05-05	172
2020-05-06	168
2020-05-07	159
2020-05-08	171
2020-05-09	181
2020-05-10	175
2020-05-11	174
2020-05-12	192
2020-05-13	199
2020-05-14	194
2020-05-15	192
2020-05-16	188
2020-05-17	181
2020-05-18	171
2020-05-19	158
2020-05-20	149
2020-05-21	142
2020-05-22	139
2020-05-23	132
2020-05-24	135
2020-05-25	141
2020-05-26	156
2020-05-27	153
2020-05-28	143
2020-05-29	132
2020-05-30	122
2020-05-31	116
2020-06-01	113
2020-06-02	107
2020-06-03	103
2020-06-04	101
2020-06-05	107
2020-06-06	117
2020-06-07	132
